Mensahe di Pasco di Gobernador di Aruba 2019	Governor’s Christmas speech 2019
Discurso di Pasco Gobernador 24 di december 2018	Christmas speech Governor on December 24, 2018
Riba 24 di december 2018, bispo di Pasco di Nacemento, Gobernador di Aruba Sr. Alfonso Boekhoudt lo duna su discurso di Pasco via e canalnan di television local	On Christmas Eve, December 24, the Governor of Aruba Alfonso Boekhoudt will give a Christmas speech on the local television stations
E programa special aki lo pasa anochi pa 8.00pm na Canal 22, DiarioTV-Canal 48 y Telearuba	Canal 22, Diario TV-Canal 48 and Telearuba will broadcast this special program at 20:00 hrs (8.00pm)
Ta invita henter e comunidad di Aruba pa sintonisa television local diadomingo 24 di december pa e mensahe di Pasco di Gobernador Boekhoudt	The entire community is invited to watch the Governor’s Christmas message on local television this Monday, December 24
Potret: ©Gabinete di Gobernador	Photo: © Cabinet Governor
E siguiente condicionnan ta aplicabel riba e potret	The following conditions apply to the photo
Gabinete di Gobernador di Aruba (KabGA tin derecho di autor riba e potret den e seccion aki y ta reserva esaki explicitamente	The copyright on the photograph in this section rests with the Cabinet of the Governor of Aruba (KabGA) and is expressly reserved
Sin embargo, ta permiti pa uza e potret pa uzo editorial door di e medionan di comunicacion, pa exhib’e den lugarnan publico, pa uzo priva y pa meta educativo	However, it is permitted to use the photographs for editorial use in news media, for display in public places, private use and educational purposes
Sin embargo, KabGA ta reserva e derecho di actua si e metodo di publicacion di e potret, segun opinion di KabGA, ta contra dignidad gubernamental, ta considera su uzo como di indole promocional (propaganda) of ta uz’e cu un proposito idealista	However, KabGA reserves the right to act if according to KabGA opinion the (method of) publication of the photo is contrary to governmental dignity, can be regarded as pomotional use (advertising) or is used with an idealistic purpose
KabGA lo no reacciona riba pregunta di tercera personanan si tuma medida (legal).den algun caso	The KabGA does not respond to questions from third parties if in certain cases (legal) steps are taken
Departamento di Salud Publico ta informa: Accion di vacunacion contra Influenza	The Department of Public Health: Get your influenza vaccine
Desde dialuna dia 17 di december e vacuna contra Influenza pa temporada 2018/2019 ta disponibel na seccion di Malesanan Contagioso di Departamento di Salud Publico	Since Monday december 17th 2018, the new Influenza vaccine for 2019 is available at the Department of Public Health’s office of Contagious Diseases
Diahuebs dia 20 di december lo bay tin un accion di vacunacion solamente pa e grupo di risico cu lo tuma lugar na ImSan for di 9:00-11:00 di mainta	Thursday, december 20th 2018 there will be a vaccination day at the ImSan in San Nicolas from 9:00 am - 11:00 am
Personanan riba 60 aña mester bin solamente cu nan carnet di AZV valido y e grupo di risico bou 60 aña mester bin cu nan carnet AZV valido y un recept di dokter	This vaccination day is specifically for those with a high risk of complications due to the flu virus. 60 plussers should only show their AZV card while those at higher risk but under the age of 60 years should present their AZV card together with the doctor’s prescription
Pa personanan cu no por cana bon, nos seccion lo duna e servicio di vacunacion den auto	Those with limited mobility will receive their vaccination in their car in the parking lot
Riba e dia aki y na e localidad aki lo no ta posibel pa cumpra vacuna	The purchase of the vaccination is not possible on this day at the ImSan
Por cumpra vacuna solamente na Departamento di Salud Publico di dialuna pa diabierna for di 7:45-11:45 y di 1:15-3:30	For those wanting the vaccination without being in the higher risk group, can only purchase the influenza vaccine at the Department of Public Health’s office from Monday to Friday from 7:45 am-1:45 am and from 1:15 pm - 3:30 pm
Pa mas informacion por tuma contacto cu Departamento di Salud Publico na 5224200	For more information please contact the Department of Public Health at 5224200
Vacuna di influenza pa temporada 2018/2019 ta disponibel na servicio di Malesanan Infeccioso	Influenza vaccine for the 2018-2019 season is available
Tur aña di nobo entre luna di november pa december ta un custumber cu e grupo di riesgo den nos comunidad ta acudi na Departamento di Salud Publico pa busca nan vacuna contra griep (influenza)	Every year, in the months of November and December, the higher risk part of the community find their way to the Department of Public Health in order to have the new influenza vaccine administered
Bou di grupo di riesgo nos ta referi na personanan cu ta na risico pa desaroya complicacionnan grave manera bronkitis y pulmonia pa motibo di griep	The higher risk group includes all those with high risk of severe complications like bronchitis and pneumonia due to the flu virus
E personanan aki ta hende grandi riba 60 aña, mucha bou di 2 aña, personanan cu ta sufri di malesanan cronico of malesa di nan sistema respiratorio	This includes those at age of 60 and higher, infants up to 2 years, those with chronic illnesses or respiratory issues
Tambe personanan cu obesidad, na estado y cu ta sufri di un sistema inmunologico abou	This also includes obese individuals, pregnant individuals and those with a low immune system
Departamento di Salud Publico kier informa na e grupo di riesgo y comunidad completo cu e vacuna contra influenza ta disponibel na nos servicio di Malesanan Infeccioso pa Afl 20,-	This is available at the office of the Infectious diseases for Awg. 20,00 for the general public while free for those in the higher risk group
Tur persona cu ta cay bou di e grupo di riesgo por pasa busca nan vacuna completamente gratis cu nan carnet di AZV y un recept di nan docter di cas	Those in the higher risk group will receive the flu vaccine free of charge, but they should get the prescription at the office of their general practitioner
Adulto riba 60 aña por presenta cu nan carchi AZV solamente	60 plussers will also receive the flu vaccine free by showing their AZV card
Pa mas informacion por tuma contacto cu servicio di Malesanan Infeccioso di Departamento di Salud Publico	For more information please contact the office of Infectious Diseases at the Department of Public Health
Boticanan na warda 2019	Night service pharmacies 2019
Segun e Landsbesluit dienstregeling apotheken AB 1991 GT. No. 16, Departamento di Inspectie Volksgezondheid ta anuncia e boticanan na warda pa 2019	In accordance with the National Decree pharmacies schedule AB 1991 GT. No. 16, the Public Health Inspection Division announces the night and Sunday schedules for pharmacies for 2019
Adhunto ta haya un resumen di e boticanan na warda pa 2019	Below you will find an overview of the on-duty pharmacies for 2019
	
Ciere di fin di aña na biblioteca	Changed opening hours National Library in connection with the holidays
Biblioteca Nacional Aruba ta anuncia cambio di orario pa e dianan di fiesta	In connection with the festive season, the National Library announces its modified opening hours
Biblioteca ta cera otro siman, diabierna dia 21 di december, 12or	The library is closed the following week
Biblioteca lo ta habri normal dia 3 dia januari	From January 3, 2019 the normal opening times will apply again
Staf y personal ta desea su bishitantenan dianan di fiesta dichoso, trankilo, yena cu paz	The management and staff of Biblioteca Nacional Aruba wish all visitors happy holidays and a beautiful new year and hope to welcome everyone again in 2019
	
Maneho orario di tienda	Policy opening hours shops
Departamento di Asunto Economico, Comercio y Industria ta informa cu e orarionan cu un negoshi ta permiti pa ta habri pa publico	The Department of Economic Affairs, Trade and Industry announces that shops may be opened to the public at the following times
Dialuna pa diasabra di 6.00 or di mainta te u 12:00 or di anochi	Monday to Saturday from 6.00 am to midnight
Diadomingo y dianan di fiesta di 9:00 or di mainta te 10:00 or di anochi	Sundays and certain holidays and memorial days from 9 am to 10 pm
Dia di Labor no ta permiti pa un negoshi ta habri pa public	On Labor Day is it not allowed for shops to open to the public
Esaki ta den cuadro di e maneho faborabel pa cu orarionan den cual ta permiti pa un negoshi ta habri segun :Landsverordening Winkelsluiting	This in the context of the favorable policy for opening hours of shops, in accordance with the Land Ordinance of shop closing hours
Tambe esaki no ta conta pa sector horeca ni pa tiendanan cu ta situa den un hotel cu tin hotelvergunning	However,its does not apply to the hotel industry or to shops in hotels that have a hotel permit
Desde 10 di juli 2018, minister di Finansa, Asunto Economico y Cultura a dicidi cu no mester pidi dispensacion mas pa lokee ta trata e orarionan di operacion di un negoshi manera ariba menciona	In accordance with the decision of the Minister of Finance, Economic Affairs and Culture, from 10 July 2018 onwards, it is no longer necessary for shops to request an exemption to be open to the public during the aforementioned opening hours
Durante dianan di fiesta e maneho di orario ta keda vigente y no ta haci excepcion	During the holidays, the policy is still valid and no exceptions will be made
Lo eherce control riba cumplimento di maneho di orario	There will be controls on the compliance with the opening hours
	
Cambio den prijs di productonan petrolero 12 december 2018	New prices for petroleum products December 12, 2018
